spend_key_name,Shared - AMS Office,null,Shared - AMS Office,null,null,Shared - AMS Office,null
apac_tax_status_id,null,null,null,null,null,null,null
apac_tax_status_name,null,null,null,null,null,null,null
account_id,1327,1345,1371,1366,1368,1386,1398
account_number,50111001,50121001,50173006,50173001,50173003,50175401,50182001
rule,Timesheet,Timesheet,Timesheet,Timesheet,Timesheet,Timesheet,Marble
account_l1_name,Personnel expenses,Personnel expenses,Personnel expenses,Personnel expenses,Personnel expenses,Personnel expenses,Personnel expenses
account_l2_name,Wages,Social security,Other personnel expenses,Other personnel expenses,Other personnel expenses,Other personnel expenses,Profit rights / share rights
account_l3_name,Wages staff,Social security on wages,Travel,Travel,Travel,Recruitment,Share rights
account_l4_name,Gross salary,Social security,Travel - Accommodation,Travel - Public transport,Travel,Interns,Share rights
nspb_l2_name,Operating expenses,Operating expenses,Operating expenses,Operating expenses,Operating expenses,Operating expenses,Non-operating expenses
nspb_l3_name,Personnel expenses,Personnel expenses,Personnel expenses,Personnel expenses,Personnel expenses,Recruitment,Share based payment
nspb_l4_name,Personnel - Wages,Personnel - Social Security,Personnel - Travel,Personnel - Travel,Personnel - Travel,null,null
account_type_id,Expense,Expense,Expense,Expense,Expense,Expense,Expense
is_income_statement,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
is_balance_sheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
accounting_period_is_closed,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
amount,302.6,-208.47,2986.85,-23.19,-3.17,21.86,-11.02
l2_profit_centre_id,2010,328,2010,102,2008,2010,1710
l2_profit_centre_name,D1 Medium Frequency Strategy,Single Stock Options,D1 Medium Frequency Strategy,Index Options,D1 Cash,D1 Medium Frequency Strategy,Currencies
l1_profit_centre_id,109,1409,109,1308,109,109,112
l1_profit_centre_name,D1,SSO,D1,IXO,D1,D1,FICC
allocation_country,NL,AU,NL,NL,NL,NL,GB
key_id,TIMESHEET290NLEU359,TIMESHEET293AU1206,TIMESHEET290NLEU359,TIMESHEET280NLEU576,TIMESHEET281AU350,TIMESHEET290NLEU359,MARBLE288AU1211
allocation_id,NL2010,AU328,NL2010,NL102,NL2008,NL2010,GB1710
comment,"""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.","""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.","""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.","""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.","""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.","""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.","""Marble"" transaction line allocated using ""Marble"" allocation key."
amount_eur,302.6,-128.02,2986.85,-23.19,-1.92,21.86,-6.78
amount_aud,496.7,-208.47,4902.75,-38.07,-3.17,35.88,-11.02
amount_usd,336.04,-136.11,3316.95,-25.31,-2.07,24.28,-7.36
amount_cny,2378.7,-979.26,23479.21,-180.26,-14.76,171.84,-52.7
amount_inr,28158.88,-11480.39,277945.62,-2095.91,-171.96,2034.21,-615.13
amount_gbp,254.42,-106.8,2511.33,-19.92,-1.64,18.38,-5.72
amount_sgd,435.73,-181.89,4300.98,-33.81,-2.78,31.48,-9.91
amount_twd,10741.7,-4403.72,106027.21,-789.29,-65.06,775.99,-240.23
exchange_rate_local_eur,0.9999999999891821,0.6140769670000003,0.9999999999891821,1.000000000006954,0.604836724,0.9999999999891821,0.6156504189999998
exchange_rate_aud_eur,0.6092189329999999,0.6140769670000003,0.6092189329999999,0.6091029680000001,0.604836724,0.6092189329999999,0.6156504189999998
exchange_rate_usd_eur,0.9004818330037702,0.9405543670029216,0.9004818330037702,0.9163970910718757,0.9264335431516812,0.9004818330037702,0.9219500417635907
exchange_rate_cny_eur,0.12721253322007117,0.13072726698966775,0.12721253322007117,0.12864642077460114,0.1299185414754057,0.12721253322007117,0.12874586109867286
exchange_rate_inr_eur,0.010746167,0.011150900000000002,0.010746167,0.011064412,0.011150060500000001,0.010746167,0.011029289999999999
exchange_rate_gbp_eur,1.189349667,1.198656333,1.189349667,1.163982903,1.170271379,1.189349667,1.1854893549999999
exchange_rate_sgd_eur,0.6944587999999998,0.7037972670000001,0.6944587999999998,0.6859848710000003,0.6887360000000002,0.6944587999999998,0.6844568389999997
exchange_rate_twd_eur,0.0281706,0.0290701,0.0281706,0.029380871,0.029470724,0.0281706,0.028241903
from_region,TA,APAC,TA,TA,APAC,TA,APAC
to_region,TA,APAC,TA,TA,TA,TA,TA
employee_id,null,null,null,null,null,null,null
allocation,null,null,null,null,null,null,null
timesheet_profit_centre,null,null,null,null,null,null,null
fte,null,null,null,null,null,null,null
fte_allocation,null,null,null,null,null,null,null
marbles,null,null,null,null,null,null,null
marble_allocation,null,null,null,null,null,null,null
is_capital,null,null,null,null,null,null,null
